Product ID,Product Name,Category,Keywords Supported,Priority,Notes,Affiliate Link,Image URL
feeder-01,PetSafe Automatic Cat Feeder,Feeding,best automatic cat feeder,high,Missing from keywords,https://amzn.to/4m6Ixno,https://m.media-amazon.com/images/I/71iskLYA6KL._AC_SL1500_.jpg
cooling-01,K&H Pet Products Cooling Mat,Cooling,dog cooling mat for summer,medium,Seasonal product,https://amzn.to/3JiJt9H,https://m.media-amazon.com/images/I/61xAcMN3KJL._AC_SL1500_.jpg
perch-01,K&H Pet Products Window Perch,Perches,cat window perch installation,medium,Installation guide needed,https://amzn.to/3HwUNOW,https://m.media-amazon.com/images/I/710UVYHvobL._AC_SL1500_.jpg
insurance-01,Pet Insurance Comparison Guide,Insurance,pet insurance comparison guide,high,High-value content,https://amzn.to/3Jx6vcU,https://m.media-amazon.com/images/I/51B5+J-GumL.jpg
shampoo-01,Burt's Bees Dog Shampoo,Grooming,best dog shampoo for sensitive skin,medium,Specialized product,https://amzn.to/45fSDwr,https://m.media-amazon.com/images/I/61BD+XMYG5L._AC_SL1500_.jpg
behavior-01,Total Cat Mojo: The Ultimate Guide to Life with Your Cat,Training,cat behavior training tips,medium,Educational content,https://amzn.to/4oEmp5I,https://m.media-amazon.com/images/I/81iknyO25cL._SL1500_.jpg
agility-01,Outward Hound Agility Set,Training,dog agility equipment backyard,medium,Backyard setup,https://amzn.to/4oyAm4M,https://m.media-amazon.com/images/I/71pk8oNE8LL._AC_SL1500_.jpg
firstaid-01,RHINO RESCUE Pet First Aid Kit,Health,pet first aid kit essentials,high,Important safety,https://amzn.to/41z3ejy,https://m.media-amazon.com/images/I/81urbR0roLL._AC_SL1500_.jpg
carrier-02,Petmate Two Door Top Load Carrier,Carriers,best cat carrier for vet visits,medium,Vet-specific,https://amzn.to/4oQgryL,https://m.media-amazon.com/images/I/71AC0Sv6arL._AC_SL1500_.jpg
anxiety-01,Thundershirt Classic Dog Anxiety Jacket,Anxiety,dog anxiety vest calming,medium,Behavioral product,https://amzn.to/3HiXUtT,https://m.media-amazon.com/images/I/61eCSBB0znL._AC_SL1080_.jpg
grooming-01,36''Large Dog Grooming Table,Grooming,pet grooming table professional,medium,Professional use,https://amzn.to/3Hymbw3,https://m.media-amazon.com/images/I/81XSEB3+75L._AC_SL1500_.jpg
microchip-01,Pet Microchip Scanner Rechargeable RFID EMID Micro Chip Reader Scanner,Identification,cat microchip registration guide,medium,Registration process,https://amzn.to/4mAHawZ,https://m.media-amazon.com/images/I/61f1BAX7TWL._AC_SL1500_.jpg
training-01,Zak George Dog Training Book,Training,dog obedience training classes,high,Educational content,https://amzn.to/4lomBms,https://m.media-amazon.com/images/I/71WKG8BMijL._SL1200_.jpg
vetfinder-01,Pet Emergency Vet Finder App,Health,pet emergency vet finder,medium,Digital service,,
allergies-01,Royal Canin Small Sensitive Skin Care Dry Dog Food,Food,best dog food for allergies,high,Specialized diet,https://amzn.to/4mCFdjA,https://m.media-amazon.com/images/I/71yxyDDLYYL._AC_SL1500_.jpg
diabetes-01,Purina Pro Plan DM Diabetes Management,Health,cat diabetes management products,medium,Medical condition,https://amzn.to/4moWm0s,https://m.media-amazon.com/images/I/71OsKhmxngL._AC_SL1500_.jpg
travel-01,Complete - LG Deluxe Pet Airline Travel Kit,Travel,pet travel accessories checklist,medium,Comprehensive guide,https://amzn.to/45dbok2,https://m.media-amazon.com/images/I/51daS10wYLL._AC_.jpg
agility-02,SparklyPets Dog Agility Training Equipment,Training,dog agility training equipment,medium,Training specific,https://amzn.to/45ujALx,https://m.media-amazon.com/images/I/61LeHXcTaQL._AC_SL1500_.jpg
kidney-01,Royal Canin Renal Support Cat Food,Health,cat kidney disease diet,medium,Medical condition,https://amzn.to/47rjOpi,https://m.media-amazon.com/images/I/31eNseiSYKL._AC_.jpg
weight-01,Hill's Science Diet Weight Management,Health,pet weight management program,medium,Health program,https://amzn.to/45vMLOp,https://m.media-amazon.com/images/I/815oJ6g6u0L._AC_SL1500_.jpg
treats-04,Pupford Freeze Dried Training Treats,Training,best dog treats for training,high,Training specific,https://amzn.to/41z4jb6,https://m.media-amazon.com/images/I/7196VLMwNAL._AC_SL1500_.jpg
urinary-01,Royal Canin Urinary SO Cat Food,Health,cat urinary health supplements,medium,Medical condition,https://amzn.to/413ZDd9,https://m.media-amazon.com/images/I/71bgAaMT+aL._AC_SL1500_.jpg
senior-01,Hill's Science Diet Senior Dog Food,Health,pet senior care products,high,Senior pets,https://amzn.to/3UZqR10,https://m.media-amazon.com/images/I/71c2h50L-TL._AC_SL1500_.jpg
separation-01,Furbo Dog Camera with Treat Dispenser,Anxiety,dog separation anxiety solutions,high,Behavioral tech,https://amzn.to/4mIMuP3,https://m.media-amazon.com/images/I/616ls3MuEGL._AC_SL1500_.jpg
enrichment-01,ORSDA Cat Toys for Indoor Cats,Enrichment,cat environmental enrichment,medium,Environmental needs,https://amzn.to/4mEYQYj,https://m.media-amazon.com/images/I/710EZJ8ZFlL._AC_SL1500_.jpg
holiday-01,Pet Holiday Safety Guide,Health,pet holiday safety guide,medium,Seasonal safety,,
weightloss-01,Royal Canin Weight Control Dog Food,Health,best dog food for weight loss,high,Weight management,https://amzn.to/4oyI9Q8,https://m.media-amazon.com/images/I/71uX8b9NPeL._AC_SL1500_.jpg
dental-04,Oxyfresh Premium Pet Dental Kit for Dogs & Cats,Dental,cat dental health products,medium,Dental care,https://amzn.to/45LUDwl,https://m.media-amazon.com/images/I/61+pf55P2aL._AC_SL1500_.jpg
emergency-01,Dr Brahmsy's Pet First Aid Kit for Dogs,Health,pet emergency preparedness kit,medium,Emergency planning,https://amzn.to/4mK6Wzb,https://m.media-amazon.com/images/I/71o5T0+vRsL._AC_SL1346_.jpg
crate-02,"Amazon Basics 2-Door Top-Load Hard-Sided Dogs, Cats Pet Travel Carrier",Training,dog crate training schedule,high,Training specific,https://amzn.to/40Zv0Wj,https://m.media-amazon.com/images/I/71KLUcxRWML._AC_SL1500_.jpg
behavior-02,CAT SCHOOL Clicker Training Kit,Training,cat behavior modification tools,medium,Behavioral tools,https://amzn.to/3UmF8EV,https://m.media-amazon.com/images/I/71xVAi9h1uL._AC_SL1500_.jpg
nutrition-01,The Pill Book Guide to Medication for Your Dog and Catï¿½,Health,pet nutrition consultation guide,medium,Professional guidance,https://amzn.to/4meOFu1,https://m.media-amazon.com/images/I/61DBcXPsfrL._SL1200_.jpg
puppy-01,Blue Buffalo Puppy Food,Food,dog food for puppies,high,Already in keywords but needs variety,https://amzn.to/4fD6vUX,https://m.media-amazon.com/images/I/717z2zjmNvL._AC_SL1500_.jpg
senior-02,Blue Buffalo Senior Dog Food,Health,pet senior care products,high,Senior variety,https://amzn.to/47sNNNE,https://m.media-amazon.com/images/I/71VW7X8VufL._AC_SL1500_.jpg
joint-01,Wuffes Advanced Dog Hip and Joint Supplement,Health,joint supplements for senior dogs,high,Already in keywords but needs variety,https://amzn.to/412njyA,https://m.media-amazon.com/images/I/71TENeF-c5L._AC_SL1500_.jpg
calming-01,Adaptil Calming Collar,Anxiety,calming supplements for anxious pets,high,Already in keywords but needs variety,https://amzn.to/46PhwQE,https://m.media-amazon.com/images/I/71836n7kBJL._AC_SL1500_.jpg
flea-01,Frontline Plus Flea Treatment,Health,flea and tick prevention,high,Already in keywords but needs variety,https://amzn.to/4oEoJts,https://m.media-amazon.com/images/I/71cWyt6fBNL._AC_SL1500_.jpg
waste-02,Biodegradable Poop Bags,Health,dog waste bags biodegradable,medium,Already in keywords but needs variety,https://amzn.to/3UYA4qo,https://m.media-amazon.com/images/I/81tojHkX5TL._AC_SL1500_.jpg
fountain-01,Cat Water Fountain,Health,pet water fountain benefits,medium,Already in keywords but needs variety,https://amzn.to/45KPGE6,https://m.media-amazon.com/images/I/713sFYeDKJL._AC_SL1500_.jpg
Minties-01,Minties Dental Chews for Dogs,Dental,greenies dental chews review,medium,Already in keywords but needs variety,https://amzn.to/4myDYSC,https://m.media-amazon.com/images/I/71eBeh9FhQL._AC_SL1500_.jpg
memory-01,Barkbox Orthopedic Dog Bed with Memory Foam,Beds,memory foam dog beds,high,Already in keywords but needs variety,https://amzn.to/45OvHnw,https://m.media-amazon.com/images/I/51TMx03ocAL._AC_SL1200_.jpg
feather-01,Interactive Feather Cat Toys,Toys,cat feather toys interactive,medium,Already in keywords but needs variety,https://amzn.to/4lw0gnb,https://m.media-amazon.com/images/I/61KGy9p-fAL._AC_SL1500_.jpg
puzzle-01,Nina Ottosson Dog Puzzle Toys,Toys,best dog puzzle toys,high,Already in keywords but needs variety,https://amzn.to/3HvIB0P,https://m.media-amazon.com/images/I/81YiWtmTBEL._AC_SL1500_.jpg
grooming-02,Tweezerman Dog and Cat Slicker Brush for Large Pets,Grooming,cat grooming brush,medium,Already in keywords but needs variety,https://amzn.to/4lrDsVM,https://m.media-amazon.com/images/I/81jkR4XTEbL._AC_SL1500_.jpg
supplements-01,Dog Multivitamin - 10 in 1 Dog Vitamins ,Health,pet health supplements,high,Already in keywords but needs variety,https://amzn.to/4lom8Rq,https://m.media-amazon.com/images/I/61GeJYB8EwL._AC_SL1000_.jpg
training-02,ORIJEN Epic Bites Freeze,Training,dog training treats,medium,Already in keywords but needs variety,https://amzn.to/41EOcsu,https://m.media-amazon.com/images/I/81MAOE4-c8L._AC_SL1500_.jpg
scratching-01,Premium Cat Scratching Posts,Scratching,cat scratching post,medium,Already in keywords but needs variety,https://amzn.to/41GCZrs,https://m.media-amazon.com/images/I/717LhjmdrhL._AC_SL1500_.jpg
largebed-01,Extra Large Dog Beds for Big Breeds,Beds,dog bed for large breeds,high,Already in keywords but needs variety,https://amzn.to/3JaUABH,https://m.media-amazon.com/images/I/71jjBYspvtL._AC_SL1500_.jpg
dental-05,Professional Pet Dental Care Products,Dental,pet dental care products,high,Already in keywords but needs variety,https://amzn.to/3Jx9AcY,https://m.media-amazon.com/images/I/71tgujdUgTL._AC_SL1500_.jpg
litterbox-01,Premium Cat Litter Boxes,Litter,cat litter box,medium,Already in keywords but needs variety,https://amzn.to/413NmFL,https://m.media-amazon.com/images/I/71Q99GCPCNL._AC_SL1500_.jpg
leashcollar-01,Premium Dog Leash and Collar Sets,Leashes,dog leash and collar,high,Already in keywords but needs variety,https://amzn.to/4oDJPrO,https://m.media-amazon.com/images/I/81RbM5x4T7S._AC_SL1500_.jpg
indoorcat-01,Premium Indoor Cat Food,Food,best cat food for indoor cats,high,Already in keywords but needs variety,https://amzn.to/45rycLD,https://m.media-amazon.com/images/I/71aULo7mmvL._AC_SL1500_.jpg
kong-01,KONG Dog Toys Collection,Toys,KONG dog toys review,medium,Already in keywords but needs variety,https://amzn.to/3J6sDLl,https://m.media-amazon.com/images/I/716ORfD-dBL._AC_SL1200_.jpg
harnesscollar-01,Dog Harness vs Collar Comparison,Harnesses,dog harness vs collar,high,Already in keywords but needs variety,https://amzn.to/3UqvxNf,https://m.media-amazon.com/images/I/7139Xa3+1kL._AC_SL1500_.jpg
clumping-01,Premium Clumping Cat Litter,Litter,best cat litter clumping,medium,Already in keywords but needs variety,https://amzn.to/45xTQ0T,https://m.media-amazon.com/images/I/71zlM2HWO0L._AC_SL1500_.jpg
omega-01,Premium Omega 3 Supplements for Dogs,Health,omega 3 supplements for dogs,high,Already in keywords but needs variety,https://amzn.to/4oNnTdU,https://m.media-amazon.com/images/I/51bFXcHAjIL._AC_SL1000_.jpg
crate-03,Professional Dog Training Crates,Training,best dog crate for training,high,Already in keywords but needs variety,https://amzn.to/4mCHZW2,https://m.media-amazon.com/images/I/91-02z09PbL._AC_SL1500_.jpg
airline-01,Airline Approved Pet Carriers,Carriers,pet carrier for airline travel,medium,Already in keywords but needs variety,https://amzn.to/4fzW58A,https://m.media-amazon.com/images/I/81gqQnt7waL._AC_SL1500_.jpg
